№ октавн. Полосы;Lшi;L(c+ш)i;Lc1i;Lc2i;Zi;Ls;Lci;gi;Ei;?Ai;pi;ki;Ai;S;W
250,00;33,00;50,00;65,00;50,00;15,00;66,00;51,00;18,00;-2130,17;2148,17;0,00;0,03;0,000;#ЧИСЛО!;#ЧИСЛО!
500,00;30,00;51,00;64,00;51,00;13,00;66,00;53,00;23,00;-2871,22;2894,22;0,00;0,11;0,000;;
1000,00;33,00;45,00;60,00;45,00;15,00;61,00;46,00;13,00;-3886,32;3899,32;#ЧИСЛО!;0,21;#ЧИСЛО!;;
2000,00;32,00;35,00;58,00;35,00;23,00;56,00;33,00;1,00;4,91;-3,91;0,66;0,31;0,201;;
4000,00;30,00;31,00;54,00;31,00;23,00;53,00;30,00;0,00;1,90;-1,90;0,56;0,26;0,144;;
;;;;;;;;;;;;сумма;#ЧИСЛО!;;
;;;;;;;;;;;;;;;
? ;;;kниж;kверх;;fниж;fверх;;;;;;;;
0,00;;1;0,007;0,034;;180;355;;;;;;;;
-0,27;;2;0,034;0,148;;355;710;;;;;;;;
0,23;;3;0,148;0,359;;710;1400;;;;;;;;
3,00;;4;0,359;0,666;;1400;2800;;;;;;;;
7,00;;5;0,666;0,924;;2800;5600;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Наименование ТС;Режим работы;Октавные полосы;Уровень Uc+ш, мкВ;Уровень Uш, мкВ;Уровень Uc, мкВ;"Отношение ""Сигнал/шум"", Di";;;;;;;;;
Линия электропитания;;;;;;;;;;;;;;;
;;250;8650;4320;7494,00;1,73;;;;;;;;;
;;500;7300;6500;3322,65;0,51;;;;;;;;;
;;1000;5800;5400;2116,60;0,39;;;;;;;;;
;;2000;3660;2880;2258,58;0,78;;;;;;;;;
;;4000;3150;3100;559,02;0,18;;;;;;;;;
Di < 0,3;;;;;;;;;;;;;;;
